LINK,TITLE,LOCATION,SALARY,SUMMARY
https://kr.indeed.com/viewjob?jk=ba7fb8cd2a5b0a91,연구/프로그래밍/,티랩스 서울,,"추가요구기술: Functional Programming Languages, Database, Web, Java/JavaScript, Qt 서울 2명 업무내용 - 담당업무 : 자사 TeeVR Mapping 기술향상을..."
https://kr.indeed.com/viewjob?jk=b7cfa27c729bca29,Back-end 개발 경력자 모집,(주)스프링클라우드 성남 분당구,,"사용 할 수 있는 아키텍쳐 설계 및 운영 자격요건 * 팀 단위 프로젝트 협업 경험 * Python / Java / Scala 중 하나 이상의 언어 사용 능숙 * MySQL 데이터베이스 테이블 설계, 튜닝, 트러블슈팅..."
https://kr.indeed.com/viewjob?jk=8f2c539e387cb218,오브잇겟 웹 개발자,오브잇겟 서울 강남구,,"셨다면!! 상세 이력서 등록하기 지원양식 커리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, JSP, JAVA, HTML 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
https://kr.indeed.com/viewjob?jk=40e953af1c1f2e31,기술 지원 및 개발 가능한 Technical Support,이포넷 서울 강남구,"월급 1,400,000원 - 1,600,000원","업무 담당직무 - JAVA 웹기반 관리 시스템 개발 및 유지 보수 - 업무 자동화 프로그램 (Python) - 번역 부서 관련 인트라넷( Java) 및... 가능) - JAVA, WEB Programming Java Spring..."
https://kr.indeed.com/viewjob?jk=865bfa548ec599bd,서버 아키텍트,한국카카오은행 경기도 성남,,"- Java, Spring 기반의 RESTful API 설계 및 개발 - 어플... 대응 및 문제 해결 . - 대용량 시스템 설계 및 개발 경험 - Java, Spring 기반의 웹 어플리케이션 개발 및 운영 경험 - Linux..."
https://kr.indeed.com/viewjob?jk=e321596e4df23413,"PC 제어 인력 (반도체, OLED)",우리마이크론 천안 동남구,"연봉 40,000,000원 - 42,000,000원","산업 직무별(직종) 응용프로그래머VisualC, VisualC++, VisualBasic, C, C++, MFC, PowerBuilder, Java, .NET, Tuxedo 산업별(업종) 반도체.디스플레이.광학 반도체생산"
https://kr.indeed.com/viewjob?jk=649ccf047c868778,"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔 서울 영등포구,,"개발, 분산 시스템, 머신러닝, 자연어처리. 패턴분석 - 다음 언어에서 최소 한 가지 이상 능숙자: Java, C++, Python, JavaScript 우대사항 - 석사이상 컴퓨터공학 (Computer Science..."
https://kr.indeed.com/viewjob?jk=4e87bd4b1dfea567,PMS NTM NCI 솔루션 개발 및 운영,국내 유명 IT 대기업 시스템통합 및 IT 아웃소싱 성남 분당구,,"DT기술 융합 연계 개발 • 경력 - java, jquery 경험보유 - 관리방법론, 개발방법론, SW품질을 이해하고 현장에 활용 가능한 수준 보유 • 역량 - 시스템 측면 : java, jquery 경험보유 - 프로세스..."
https://kr.indeed.com/viewjob?jk=de4a1ae3609e7770,"C# TCP/IP, Serial 개발자 (지방출장 가능한분)",제이씨메디컴 서울,,"750점(급) 정보처리기사 컴퓨터프로그래머1급(C) 컴퓨터프로그래머1급( JAVA) 수학/통계학 컴퓨터/시스템공학 임상병리학 국가유공자 보훈대상자 장애... 능자 [웹프로그래밍] - jsp, java, ASP / PHP 개발 능숙자..."
https://kr.indeed.com/viewjob?jk=9dd633cc1609a4c0,(주)스핀어웹 연구개발,스핀어웹 서울 영등포구,"연봉 24,000,000원 - 26,000,000원","[응용 프로그래밍] - C, C++, JAVA, 임베디드 개발 유경험자 - .NET 프레임워크에 대한 기반 지식 보유자 - 네트워크 프로그래밍에 대한 경험자 - DB 설계 및 DBMS(MS-SQL, MySQL, ORACLE)에..."
